Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Logical quotient rating,coding skills rating,can work long time before system?,self-learning capability?,Interested subjects,Type of company want to settle in?,Management or Technical,Suggested Job Role
69,63,78,87,94,94,87,4,4,yes,yes,cloud computing,Web Services,Management,Database Developer
78,62,73,60,71,70,73,7,2,yes,no,networks,SAaS services,Technical,Portal Administrator
71,86,91,87,61,81,72,1,1,yes,no,hacking,Sales and Marketing,Management,Portal Administrator
76,87,60,84,89,73,62,1,2,no,yes,networks,Testing and Maintainance Services,Management,Systems Security Administrator
92,62,90,67,71,89,73,5,6,no,no,Computer Architecture,product development,Management,Business Systems Analyst
88,86,62,79,93,84,69,5,8,yes,yes,programming,Testing and Maintainance Services,Management,Software Systems Engineer
93,77,69,79,90,93,73,3,3,no,no,parallel computing,BPA,Technical,Database Developer
84,72,88,62,66,63,78,2,6,yes,no,parallel computing,BPA,Technical,Business Intelligence Analyst
73,66,66,81,81,69,61,5,4,no,yes,IOT,BPA,Technical,Business Systems Analyst
62,76,85,91,82,69,63,9,5,no,no,data engineering,product development,Management,CRM Technical Developer
73,80,70,83,61,82,75,6,3,yes,no,parallel computing,Sales and Marketing,Management,Mobile Applications Developer
63,76,81,90,70,72,86,3,9,no,yes,parallel computing,Testing and Maintainance Services,Management,UX Designer
63,64,61,67,61,70,65,2,8,yes,no,cloud computing,Service Based,Technical,CRM Technical Developer
68,93,77,60,77,81,67,5,6,no,no,parallel computing,Testing and Maintainance Services,Management,Business Systems Analyst
90,83,66,71,65,67,86,6,3,yes,no,Software Engineering,Testing and Maintainance Services,Management,Quality Assurance Associate
94,71,63,74,61,69,65,7,5,yes,yes,networks,Testing and Maintainance Services,Technical,Web Developer
60,92,94,90,62,94,62,7,5,no,no,IOT,Sales and Marketing,Technical,Web Developer
92,86,61,63,64,65,92,9,3,no,yes,hacking,product development,Management,Information Security Analyst
82,91,68,86,78,61,91,8,7,no,no,Computer Architecture,Web Services,Technical,CRM Business Analyst
90,73,90,67,63,88,67,6,2,no,yes,parallel computing,SAaS services,Management,Information Security Analyst
67,61,66,62,93,91,88,5,2,yes,yes,parallel computing,Product based,Technical,Database Developer
65,61,73,90,89,74,82,8,2,yes,yes,hacking,BPA,Management,Business Systems Analyst
84,62,70,70,67,65,78,9,4,no,no,cloud computing,BPA,Management,Quality Assurance Associate
74,89,66,75,86,61,63,9,7,no,yes,data engineering,Service Based,Management,Technical Support
92,67,76,92,69,90,80,7,5,yes,yes,parallel computing,product development,Technical,Technical Support
75,74,85,93,92,80,87,5,4,yes,yes,networks,SAaS services,Technical,Information Security Analyst
90,82,75,72,84,79,83,8,1,no,yes,programming,SAaS services,Management,Business Intelligence Analyst
71,60,93,79,78,93,90,9,3,yes,yes,parallel computing,Web Services,Technical,Project Manager
83,82,64,70,93,73,87,1,1,yes,no,cloud computing,BPA,Management,Information Technology Manager
83,68,70,90,85,75,90,3,2,yes,no,networks,Cloud Services,Management,Web Developer
89,88,65,78,87,63,75,2,9,no,yes,data engineering,BPA,Technical,Programmer Analyst
74,70,93,85,82,94,71,5,3,no,yes,cloud computing,product development,Technical,Business Systems Analyst
80,85,68,64,86,62,78,7,7,yes,yes,data engineering,Finance,Technical,Systems Security Administrator
70,67,64,82,77,72,87,9,2,no,yes,parallel computing,Finance,Management,Business Systems Analyst
76,63,84,85,61,76,65,8,2,yes,no,data engineering,Product based,Technical,Design & UX
66,74,78,85,68,69,86,8,2,no,yes,Computer Architecture,SAaS services,Technical,Solutions Architect
83,83,62,82,61,77,89,3,9,no,no,Computer Architecture,Testing and Maintainance Services,Technical,Business Systems Analyst
66,71,72,60,93,65,81,8,7,no,yes,hacking,BPA,Management,Systems Analyst
70,71,65,84,86,72,79,8,4,yes,no,data engineering,Finance,Technical,Network Security Administrator
78,85,80,85,83,74,82,6,1,yes,yes,cloud computing,SAaS services,Technical,Data Architect
74,67,94,65,94,83,93,5,6,yes,yes,Software Engineering,BPA,Technical,CRM Technical Developer
85,74,70,69,87,92,71,9,1,no,yes,Software Engineering,Web Services,Technical,Software Developer
61,71,77,82,70,65,65,3,6,no,yes,IOT,Cloud Services,Technical,E-Commerce Analyst
71,83,80,71,85,60,63,7,8,yes,yes,Software Engineering,SAaS services,Management,Technical Services/Help Desk/Tech Support
67,83,86,63,82,71,70,9,5,yes,yes,Management,Cloud Services,Technical,Systems Analyst
76,82,76,62,94,90,92,5,8,yes,yes,networks,Testing and Maintainance Services,Management,Information Technology Auditor
69,81,74,62,60,82,82,7,2,yes,yes,data engineering,BPA,Technical,Network Security Administrator
81,83,63,78,66,63,75,7,5,no,yes,Software Engineering,Finance,Technical,Database Manager
79,73,77,91,84,68,82,7,3,yes,yes,hacking,Product based,Management,Web Developer
73,78,76,75,71,66,92,5,9,no,no,Computer Architecture,Service Based,Technical,Information Security Analyst
69,71,88,82,88,71,83,2,1,yes,yes,parallel computing,Web Services,Technical,E-Commerce Analyst
75,84,63,90,77,81,71,4,2,yes,no,hacking,SAaS services,Management,Technical Services/Help Desk/Tech Support
73,69,63,90,64,60,80,5,6,yes,yes,programming,BPA,Management,Applications Developer
62,92,83,84,93,68,88,8,4,no,yes,hacking,Cloud Services,Technical,Software Systems Engineer
69,73,86,91,77,60,84,3,2,no,yes,cloud computing,Service Based,Technical,CRM Technical Developer
69,62,64,67,71,87,79,6,7,yes,yes,parallel computing,Finance,Technical,Database Manager
65,78,80,93,87,60,85,3,4,yes,no,networks,Cloud Services,Technical,Technical Support
76,87,80,67,66,66,80,9,1,no,no,Management,Web Services,Technical,Database Administrator
74,85,64,72,67,64,62,5,7,yes,yes,hacking,Testing and Maintainance Services,Technical,Network Engineer
86,63,73,94,70,67,91,3,3,yes,no,data engineering,product development,Technical,Mobile Applications Developer
64,69,76,62,63,67,86,7,4,no,no,Computer Architecture,Web Services,Management,Technical Services/Help Desk/Tech Support
93,94,70,85,68,91,69,2,8,no,no,parallel computing,Finance,Management,Technical Support
94,74,75,74,65,74,63,6,6,yes,yes,Management,BPA,Technical,Information Technology Manager
88,62,67,73,90,80,76,1,6,yes,no,Management,Cloud Services,Management,E-Commerce Analyst
76,91,84,66,84,87,61,2,1,yes,no,cloud computing,Service Based,Management,Software Developer
80,75,83,75,85,62,74,8,1,no,no,Computer Architecture,BPA,Management,Solutions Architect
75,74,72,90,94,86,64,3,4,no,yes,data engineering,Web Services,Management,Software Systems Engineer
69,67,68,80,84,67,76,7,4,no,yes,data engineering,Cloud Services,Management,Network Engineer
83,84,66,70,64,83,90,3,7,yes,no,networks,Service Based,Management,Technical Support
88,72,79,90,70,75,77,6,9,yes,no,IOT,Service Based,Technical,Information Technology Manager
83,66,93,68,74,66,81,7,6,no,no,programming,Cloud Services,Technical,Software Engineer
83,68,63,61,70,75,74,4,6,yes,no,hacking,product development,Management,Software Developer
89,89,68,63,75,86,87,5,7,no,yes,IOT,Cloud Services,Management,Programmer Analyst
90,61,75,93,90,85,85,1,6,no,no,cloud computing,Service Based,Management,CRM Business Analyst
91,62,71,87,64,68,90,9,4,yes,yes,Computer Architecture,Service Based,Technical,Software Developer
66,69,63,81,80,90,81,5,3,yes,no,parallel computing,Web Services,Management,Business Intelligence Analyst
61,74,91,81,80,93,90,2,4,no,no,data engineering,Web Services,Technical,Database Administrator
92,74,71,68,84,63,88,6,4,no,yes,IOT,Service Based,Management,Technical Engineer
64,74,91,73,68,76,62,5,7,yes,no,Management,Cloud Services,Technical,Data Architect
72,85,77,88,91,88,78,5,1,yes,yes,IOT,Sales and Marketing,Technical,Network Security Engineer
74,86,65,84,66,84,62,6,3,yes,no,parallel computing,Testing and Maintainance Services,Management,CRM Technical Developer
88,80,67,91,66,84,61,7,3,yes,no,Management,BPA,Technical,Software Developer
76,75,78,86,94,84,64,9,6,yes,yes,data engineering,Testing and Maintainance Services,Technical,Systems Security Administrator
73,68,91,92,87,65,94,7,8,yes,yes,Computer Architecture,Sales and Marketing,Technical,Network Engineer
63,61,79,91,78,83,76,6,1,yes,no,Management,Finance,Management,Technical Services/Help Desk/Tech Support
60,64,93,93,81,89,81,8,9,no,no,Computer Architecture,Web Services,Technical,Systems Security Administrator
76,93,65,63,86,88,88,4,5,yes,yes,IOT,BPA,Management,Web Developer
72,92,90,67,64,83,60,9,1,no,yes,Software Engineering,Service Based,Technical,Portal Administrator
85,67,77,91,64,92,84,6,6,yes,yes,Computer Architecture,SAaS services,Management,Software Developer
81,84,69,71,88,60,75,3,7,no,no,parallel computing,BPA,Management,Network Security Engineer
82,65,74,93,72,73,67,2,4,yes,no,networks,BPA,Technical,Solutions Architect
74,69,86,77,75,76,81,7,7,no,yes,hacking,product development,Management,Network Security Administrator
70,64,73,76,76,88,71,9,7,no,yes,data engineering,Service Based,Management,Portal Administrator
71,67,61,65,68,61,72,5,6,no,yes,IOT,Sales and Marketing,Technical,UX Designer
